Symbol,MarketCap,Name,LastSale,IPOyear,Sector,industry,Summary Quote
DDD,$1.52B,3D Systems Corporation,13.37,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,$125.58B,3M Company,210.44,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,$448.85M,500.com Limited,11.01,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,$9.74B,58.com Inc.,66.88,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,$97.89M,A.H. Belo Corporation,4.5,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,$463.52M,"A10 Networks, Inc.",6.55,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,$229.54M,"AAC Holdings, Inc.",9.54,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,$1.3B,AAR Corp.,37.56,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,$2.82B,"Aaron&#39;s,  Inc.",38.83,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,$52.56B,ABB Ltd,24.63,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,$89.36B,Abbott Laboratories,51.43,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,$139.34B,AbbVie Inc.,87.41,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,$951.18M,Abercrombie & Fitch Company,13.97,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,$106.36M,"Aberdeen Greater China Fund, Inc.",12.0638,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,$116.72M,"Aberdeen Japan Equity Fund, Inc. ",8.725,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,$85.99M,"Aberdeen Singapore Fund, Inc.",11.59,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,$2.54B,ABM Industries Incorporated,38.93,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,$2.4B,Acadia Realty Trust,28.64,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,$87.3B,Accenture plc,136.66,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,$1.25B,Acco Brands Corporation,11.5,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ATV,$45.05M,"Acorn International, Inc.",16.8,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,$1.6B,Actuant Corporation,26.75,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,$6.79B,Acuity Brands Inc,161.42,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,$1.25B,Acushnet Holdings Corp.,16.85,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ADX,$1.48B,"Adams Diversified Equity Fund, Inc.",15.01,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,$547.61M,"Adams Natural Resources Fund, Inc.",19.18,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,$1.2B,Adecoagro S.A.,9.96,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADNT,$7.66B,Adient plc,82.24,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
ATGE,$2.06B,Adtalem Global Education Inc.,33.25,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge
AAP,$6.92B,Advance Auto Parts Inc,93.68,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,$2.14B,"Advanced Disposal Services, Inc.",24.23,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,$1.1B,"Advanced Drainage Systems, Inc.",19.85,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,$10.31B,"Advanced Semiconductor Engineering, Inc.",6.23,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ASIX,$1.16B,AdvanSix Inc.,38.15,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,$1.23B,Advantage Oil & Gas Ltd,6.6,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
AVK,$377.29M,Advent Claymore Convertible Securities and Income Fund,16,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,$195.76M,Advent Claymore Convertible Securities and Income Fund II,6.08,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,$78.05M,Advent/Claymore Enhanced Growth & Income Fund,8.5,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,$5.48B,AECOM,34.94,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,$166.6M,Aegean Marine Petroleum Network Inc.,4.1,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,n/a,Aegon NV,24.76,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,n/a,Aegon NV,26.17,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,$12.04B,Aegon NV,5.88,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,n/a,Aegon NV,25.9499,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,n/a,Aegon NV,26.26,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,$8.2B,Aercap Holdings N.V.,50.16,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,$210.11M,"Aerohive Networks, Inc.",3.9,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,$2.43B,"Aerojet Rocketdyne Holdings, Inc. ",32.3,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AET,$50.94B,Aetna Inc.,153.39,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,$10.31B,"Affiliated Managers Group, Inc.",184.18,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
AFL,$33.05B,Aflac Incorporated,83.63,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,n/a,Aflac Incorporated,25.3,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,$545.16M,"AG Mortgage Investment Trust, Inc.",19.59,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,n/a,"AG Mortgage Investment Trust, Inc.",25.24,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,n/a,"AG Mortgage Investment Trust, Inc.",25.18,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,$5.84B,AGCO Corporation,73.37,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,$21.21B,"Agilent Technologies, Inc.",65.92,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AEM,$10.7B,Agnico Eagle Mines Limited,46.14,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,$1.43B,Agree Realty Corporation,50.07,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,$14.84B,Agrium Inc.,107.42,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,$4.23B,Air Lease Corporation,40.99,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,$32.92B,"Air Products and Chemicals, Inc.",151.05,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,$1.73B,Aircastle Limited,21.97,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AKS,$1.74B,AK Steel Holding Corporation,5.54,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O.CL,n/a,Alabama Power Company,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^o.cl
ALP^Q,n/a,Alabama Power Company,25.75,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^q
ALG,$1.18B,"Alamo Group, Inc.",101.12,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,$2.09B,Alamos Gold Inc.,6.94,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,$9.01B,"Alaska Air Group, Inc.",72.91,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,$1.79B,Albany International Corporation,55.9,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,$14.9B,Albemarle Corporation,134.89,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,$8.53B,Alcoa Corporation,46.25,2016,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/aa
ALR,$4.41B,Alere Inc.,50.35,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,n/a,Alere Inc.,397.8725,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,$2.22B,"Alexander & Baldwin Holdings, Inc.",45.19,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,$2.13B,"Alexander&#39;s, Inc.",417.2,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,$11.17B,"Alexandria Real Estate Equities, Inc.",119.34,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,n/a,"Alexandria Real Estate Equities, Inc.",36.6207,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
AQN,$4.07B,Algonquin Power & Utilities Corp.,10.64,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,$448.68B,Alibaba Group Holding Limited,177.39,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,$8.7B,Alleghany Corporation,564.24,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,$2.48B,Allegheny Technologies Incorporated,22.74,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,$7.93B,Allegion plc,83.47,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,$67.75B,Allergan plc.,202.66,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,n/a,Allergan plc.,730.07,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,$3.93B,"Allete, Inc.",77.15,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,$118.14M,Alliance California Municipal Income Fund Inc,13.81,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,$11.97B,Alliance Data Systems Corporation,215.81,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,$400.13M,Alliance National Municipal Income Fund Inc,13.92,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,$96.93M,"Alliance One International, Inc.",10.8,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,$1.11B,Alliance World Dollar Government Fund II,12.918,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,$2.23B,AllianceBernstein Holding L.P.,23.95,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,$9.72B,Alliant Energy Corporation,42.06,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
CBH,$177.82M,AllianzGI Convertible & Income 2024 Target Term Fund,9.74,2017,n/a,n/a,http://www.nasdaq.com/symbol/cbh
NCV,$617.05M,AllianzGI Convertible & Income Fund,6.97,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,$462.42M,AllianzGI Convertible & Income Fund II,6.19,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,$217.52M,AllianzGI Diversified Income & Convertible Fund,21.17,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,$567.48M,AllianzGI Equity & Convertible Income Fund,20.48,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,$1.25B,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.22,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
ALSN,$5.19B,"Allison Transmission Holdings, Inc.",34.88,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,$32.76B,Allstate Corporation (The),90.67,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
ALL^A,n/a,Allstate Corporation (The),26,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
ALL^B,n/a,Allstate Corporation (The),26.97,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b
ALL^C,n/a,Allstate Corporation (The),26.9,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c
ALL^D,n/a,Allstate Corporation (The),27.2,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d
ALL^E,n/a,Allstate Corporation (The),27,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e
ALL^F,n/a,Allstate Corporation (The),26.88,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f
ALLY,$10.39B,Ally Financial Inc.,23.09,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
ALLY^A,n/a,Ally Financial Inc.,26.3,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a
ALDW,$700.95M,"Alon USA Partners, LP",11.21,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
AGD,$132.31M,Alpine Global Dynamic Dividend Fund,10.5426,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,$556.01M,Alpine Global Premier Properties Fund,6.51,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,$954.35M,Alpine Total Dynamic Dividend Fund,8.87,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod
AYX,$1.12B,"Alteryx, Inc.",19.01,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ayx
ATUS,$19.86B,"Altice USA, Inc.",26.94,2017,Consumer Services,Television Services,http://www.nasdaq.com/symbol/atus
RESI,$585.35M,Altisource Residential Corporation,10.97,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi
MO,$117.99B,Altria Group,61.5,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo
ACH,$13.72B,Aluminum Corporation of China Limited,23.02,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
AMBR,$202.33M,"Amber Road, Inc.",7.45,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
ABEV,$105.87B,Ambev S.A.,6.74,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev
AMC,$2.07B,"AMC Entertainment Holdings, Inc.",15.8,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc
AMFW,$2.56B,Amec Plc Ord,6.5,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw
AEE,$14.27B,Ameren Corporation,58.81,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee
AMRC,$346.01M,"Ameresco, Inc.",7.6,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
AMOV,$59.74B,"America Movil, S.A.B. de C.V.",18.16,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMX,$60.53B,"America Movil, S.A.B. de C.V.",18.4,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx
AAT,$1.88B,"American Assets Trust, Inc.",39.94,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat
AXL,$1.8B,"American Axle & Manufacturing Holdings, Inc.",16.2,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl
ACC,$6.45B,American Campus Communities Inc,47.3,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
AEO,$2.42B,"American Eagle Outfitters, Inc.",13.67,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo
AEP,$35.14B,"American Electric Power Company, Inc.",71.45,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep
AEL,$2.51B,American Equity Investment Life Holding Company,28.19,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
